"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_z_induced","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2025","Peralta, Freddy","642547","Brewers","MIL","R","95","1184","2099",20.37864077669903,0.5640781324440209,"FF","4-Seam Fastball",13.7,-15,1.3,"9",16.8,4.7,-8.4,-3.7,"-44",0.7955112219451371,0.09975062344139651
"2025","Gausman, Kevin","592332","Blue Jays","TOR","R","94.4","1031","1892",18.192307692307693,0.5449260042283298,"FF","4-Seam Fastball",13.9,-14.6,0.7,"5",17.2,11.3,-7.3,3.9,"54",0.6683291770573566,0.9201995012468828
"2025","Gore, MacKenzie","669022","Nationals","WSH","L","95.3","1021","2040",19.805825242718445,0.5004901960784314,"FF","4-Seam Fastball",13.2,-14.1,1,"7",17,6.2,-7.5,-1.3,"-17",0.7331670822942643,0.33915211970074816
"2025","Ray, Robbie","592662","Giants","SF","L","93.6","1004","1993",19.16346153846154,0.5037631710988459,"FF","4-Seam Fastball",13.1,-14.8,1.7,"11",18.3,8.3,-7,1.4,"20",0.8603491271820449,0.655860349127182
"2025","Ryan, Joe","657746","Twins","MIN","R","93.5","959","1817",17.640776699029125,0.5277930654925702,"FF","4-Seam Fastball",17.9,-18.1,0.2,"1",13.6,12.5,-11.2,1.3,"12",0.5511221945137157,0.6408977556109726
"2025","Parker, Mitchell","680730","Nationals","WSH","L","92.8","954","1734",16.83495145631068,0.5501730103806228,"FF","4-Seam Fastball",13.8,-14.4,0.5,"4",18,5.3,-6.3,-1,"-15",0.6184538653366584,0.3740648379052369
"2025","Castillo, Luis","622491","Mariners","SEA","R","95.2","953","2010",19.326923076923077,0.4741293532338308,"FF","4-Seam Fastball",17.7,-17.5,-0.2,"-1",12.6,13.1,-11.9,1.1,"9",0.4763092269326683,0.6209476309226932
"2025","Gallen, Zac","668678","D-backs","AZ","R","93.3","936","1981",19.048076923076923,0.4724886420999495,"FF","4-Seam Fastball",14.4,-14.8,0.4,"3",17.2,4.4,-7,-2.6,"-37",0.6034912718204489,0.20199501246882792
"2025","Senzatela, Antonio","622608","Rockies","COL","R","94.9","932","1718",16.679611650485437,0.5424912689173458,"FF","4-Seam Fastball",18.7,-14.5,-4.2,"-29",11.5,4.5,-7.3,-2.9,"-39",0.04239401496259352,0.16708229426433915
"2025","Nelson, Ryne","669194","D-backs","AZ","R","95.5","891","1427",13.721153846153847,0.6243868255080589,"FF","4-Seam Fastball",10.7,-13.4,2.7,"20",19.4,3.7,-6.7,-3,"-45",0.9600997506234414,0.14713216957605985
"2025","Pivetta, Nick","601713","Padres","SD","R","93.8","883","1877",18.048076923076923,0.47043153969099627,"FF","4-Seam Fastball",11.5,-13,1.5,"12",19.8,2.2,-5.4,-3.2,"-59",0.8329177057356608,0.13466334164588528
"2025","Paddack, Chris","663978","Twins","MIN","R","93.8","861","1854",18,0.46440129449838186,"FF","4-Seam Fastball",12.9,-14,1,"7",18.3,8.7,-6.5,2.3,"35",0.7331670822942643,0.7780548628428927
"2025","Flaherty, Jack","656427","Tigers","DET","R","92.8","859","1824",17.37142857142857,0.47094298245614036,"FF","4-Seam Fastball",15.8,-16.5,0.7,"4",16,5.7,-8.4,-2.7,"-32",0.6683291770573566,0.19451371571072318
"2025","Crochet, Garrett","676979","Red Sox","BOS","L","96.2","844","2086",19.866666666666667,0.4046021093000959,"FF","4-Seam Fastball",13.8,-13.3,-0.5,"-4",15.9,8.2,-7,1.1,"16",0.40648379052369077,0.6209476309226932
"2025","Wheeler, Zack","554430","Phillies","PHI","R","96.2","835","2013",19.54368932038835,0.4148037754595132,"FF","4-Seam Fastball",14.9,-14.7,-0.3,"-2",14.8,10,-9,0.9,"10",0.4488778054862843,0.5985037406483791
"2025","Woo, Bryan","693433","Mariners","SEA","R","95.6","830","1818",17.48076923076923,0.45654565456545654,"FF","4-Seam Fastball",14.9,-15.8,0.9,"6",15.2,8.8,-9.6,-0.7,"-8",0.7032418952618454,0.39650872817955113
"2025","Springs, Jeffrey","605488","Athletics","ATH","L","90.5","830","1982",18.69811320754717,0.41876892028254287,"FF","4-Seam Fastball",17.8,-16.6,-1.2,"-7",15.8,11.5,-7.1,4.4,"62",0.29925187032418954,0.9476309226932669
"2025","Pepiot, Ryan","686752","Rays","TB","R","95","827","1903",18.298076923076923,0.4345769837099317,"FF","4-Seam Fastball",11,-14,3,"21",19.3,7.9,-7.1,0.8,"12",0.9800498753117207,0.5885286783042394
"2025","Rodón, Carlos","607074","Yankees","NYY","L","94.4","826","2040",19.805825242718445,0.40490196078431373,"FF","4-Seam Fastball",13.5,-14.2,0.8,"5",17.5,10.6,-6.6,3.9,"59",0.685785536159601,0.9201995012468828
"2025","Baz, Shane","669358","Rays","TB","R","96.8","825","1834",17.634615384615383,0.44983642311886585,"FF","4-Seam Fastball",12.5,-13.8,1.2,"9",16.8,10,-7.8,2.2,"28",0.7805486284289277,0.7630922693266833
"2025","Cease, Dylan","656302","Padres","SD","R","97.1","824","1994",19.173076923076923,0.41323971915747243,"FF","4-Seam Fastball",10.7,-13,2.3,"18",18.6,3.5,-7.1,-3.5,"-50",0.9251870324189526,0.11471321695760599
"2025","Boyd, Matthew","571510","Cubs","CHC","L","93.3","822","1782",17.300970873786408,0.4612794612794613,"FF","4-Seam Fastball",18.4,-16,-2.4,"-15",13.2,13.2,-8.2,5,"62",0.14463840399002495,0.9650872817955112
"2025","Pallante, Andre","669467","Cardinals","STL","R","94.4","821","1786",17.00952380952381,0.4596864501679731,"FF","4-Seam Fastball",20.6,-14.2,-6.4,"-45",10,0.3,-6.9,-6.6,"-96",0.004987531172069825,0.017456359102244388
"2025","Brown, Ben","676962","Cubs","CHC","R","95.8","809","1399",13.58252427184466,0.5782701929949964,"FF","4-Seam Fastball",12.8,-13.1,0.2,"2",17.1,7.5,-6.3,1.1,"18",0.5511221945137157,0.6209476309226932
"2025","Bradley, Taj","671737","Rays","TB","R","96.1","807","1788",17.192307692307693,0.4513422818791946,"FF","4-Seam Fastball",11.7,-13.4,1.7,"13",18,7.2,-6.9,0.2,"3",0.8603491271820449,0.4937655860349127
"2025","deGrom, Jacob","594798","Rangers","TEX","R","97.4","796","1725",16.58653846153846,0.46144927536231883,"FF","4-Seam Fastball",12.7,-13.7,1.1,"8",16.5,9.1,-8.5,0.7,"8",0.7531172069825436,0.5610972568578554
"2025","Skenes, Paul","694973","Pirates","PIT","R","98.2","779","1987",19.10576923076923,0.3920483140412682,"FF","4-Seam Fastball",17.2,-13.1,-4,"-31",11.3,14.7,-8.2,6.4,"78",0.05236907730673317,0.9875311720698254
"2025","Brown, Hunter","686613","Astros","HOU","R","96.9","765","1897",18.240384615384617,0.4032683183974697,"FF","4-Seam Fastball",12,-12.8,0.8,"6",17.3,7,-6.9,0.1,"2",0.685785536159601,0.48129675810473815
"2025","Falter, Bailey","663559","Pirates","PIT","L","92.2","751","1628",15.653846153846153,0.46130221130221133,"FF","4-Seam Fastball",13.7,-15.3,1.6,"10",18.6,3.2,-6.8,-3.6,"-53",0.8503740648379052,0.10972568578553615
"2025","Heaney, Andrew","571760","Pirates","PIT","L","90.1","748","1668",16.03846153846154,0.44844124700239807,"FF","4-Seam Fastball",21.2,-20,-1.2,"-6",12.9,16.1,-10.7,5.3,"50",0.29925187032418954,0.970074812967581
"2025","Kikuchi, Yusei","579328","Angels","LAA","L","94.8","741","2105",20.240384615384617,0.35201900237529693,"FF","4-Seam Fastball",15.1,-15.3,0.2,"1",15.5,10,-8.5,1.5,"18",0.5511221945137157,0.6708229426433915
"2025","Abbott, Andrew","671096","Reds","CIN","L","92.4","740","1554",14.942307692307692,0.47619047619047616,"FF","4-Seam Fastball",16,-15.5,-0.5,"-3",16.1,9,-7.1,1.9,"27",0.40648379052369077,0.7231920199501247
"2025","Warren, Will","701542","Yankees","NYY","R","93.2","732","1845",17.9126213592233,0.3967479674796748,"FF","4-Seam Fastball",16,-15.8,-0.2,"-1",15.5,8.3,-8,0.3,"4",0.4763092269326683,0.5012468827930174
"2025","Williams, Gavin","668909","Guardians","CLE","R","96.6","723","1874",18.372549019607842,0.3858057630736393,"FF","4-Seam Fastball",13.9,-13,-0.9,"-7",15.5,10.6,-7.1,3.5,"49",0.34663341645885287,0.8902743142144638
"2025","Burke, Sean","680732","White Sox","CWS","R","94.1","718","1728",16.615384615384617,0.41550925925925924,"FF","4-Seam Fastball",12.5,-13.7,1.2,"9",18.6,4.9,-6.3,-1.4,"-22",0.7805486284289277,0.3192019950124688
"2025","Sears, JP","676664","Athletics","ATH","L","92.2","717","1840",17.358490566037737,0.38967391304347826,"FF","4-Seam Fastball",18.3,-18.1,-0.2,"-1",14,12,-10,2,"20",0.4763092269326683,0.7331670822942643
"2025","Rea, Colin","607067","Cubs","CHC","R","93.8","714","1617",15.699029126213592,0.44155844155844154,"FF","4-Seam Fastball",17.1,-15.4,-1.7,"-11",14,8.6,-7.9,0.7,"9",0.22443890274314215,0.5610972568578554
"2025","Keller, Mitch","656605","Pirates","PIT","R","94","697","1942",18.673076923076923,0.358908341915551,"FF","4-Seam Fastball",15.8,-14.8,-1,"-7",15.2,8.7,-7.3,1.4,"19",0.3316708229426434,0.655860349127182
"2025","Anderson, Tyler","542881","Angels","LAA","L","89.1","696","1841",17.701923076923077,0.3780554046713743,"FF","4-Seam Fastball",15.2,-16.8,1.7,"10",19.5,6.8,-6.4,0.4,"7",0.8603491271820449,0.5087281795511222
"2025","Yamamoto, Yoshinobu","808967","Dodgers","LAD","R","95.2","685","1803",17.33653846153846,0.37992235163616195,"FF","4-Seam Fastball",14.2,-15,0.8,"5",16,6.9,-8.4,-1.4,"-17",0.685785536159601,0.3192019950124688
"2025","Luzardo, Jesús","666200","Phillies","PHI","L","96.5","684","1967",19.097087378640776,0.3477376715810879,"FF","4-Seam Fastball",15.5,-14.2,-1.2,"-9",14.1,11.7,-8,3.7,"46",0.29925187032418954,0.9052369077306733
"2025","Verlander, Justin","434378","Giants","SF","R","94","674","1436",13.807692307692308,0.46935933147632314,"FF","4-Seam Fastball",12.6,-13.2,0.6,"4",18.6,9,-6.7,2.3,"35",0.6433915211970075,0.7780548628428927
"2025","Rodriguez, Eduardo","593958","D-backs","AZ","L","92","674","1503",14.451923076923077,0.44843646041250834,"FF","4-Seam Fastball",16.7,-15.8,-0.9,"-6",15.6,5.6,-7.2,-1.6,"-22",0.34663341645885287,0.286783042394015
"2025","Francis, Bowden","670102","Blue Jays","TOR","R","92.4","657","1141",10.971153846153847,0.5758106923751095,"FF","4-Seam Fastball",14.1,-15.2,1.1,"7",18.2,7.4,-6.9,0.5,"8",0.7531172069825436,0.5261845386533666
"2025","Strider, Spencer","675911","Braves","ATL","R","95.6","653","1208",11.843137254901961,0.5405629139072847,"FF","4-Seam Fastball",13.6,-13.8,0.2,"1",16.4,8.8,-7.3,1.5,"20",0.5511221945137157,0.6708229426433915
"2025","Smith, Shane","681343","White Sox","CWS","R","95.3","649","1449",13.932692307692308,0.4478951000690131,"FF","4-Seam Fastball",16.4,-14.2,-2.2,"-16",13.7,5.9,-7.4,-1.4,"-20",0.17206982543640897,0.3192019950124688
"2025","Bubic, Kris","663460","Royals","KC","L","92.2","643","1729",16.78640776699029,0.37189126662810873,"FF","4-Seam Fastball",14.1,-15.8,1.7,"11",18.2,4.3,-7.3,-3,"-41",0.8603491271820449,0.14713216957605985
"2025","Giolito, Lucas","608337","Red Sox","BOS","R","93.6","640","1298",12.361904761904762,0.4930662557781202,"FF","4-Seam Fastball",13.5,-14.2,0.7,"5",17.9,7,-6.5,0.5,"7",0.6683291770573566,0.5261845386533666
"2025","Gusto, Ryan","687473","Astros","HOU","R","94.2","638","1374",13.211538461538462,0.4643377001455604,"FF","4-Seam Fastball",13,-14.8,1.8,"12",18.2,5.8,-7.4,-1.6,"-21",0.8827930174563591,0.286783042394015
"2025","Irvin, Jake","663623","Nationals","WSH","R","92.2","633","1933",18.766990291262136,0.3274702534919814,"FF","4-Seam Fastball",17.6,-15.7,-1.9,"-12",14.6,9.4,-7.2,2.2,"31",0.20199501246882792,0.7630922693266833
"2025","Sale, Chris","519242","Braves","ATL","L","94.9","627","1486",14.568627450980392,0.42193808882907136,"FF","4-Seam Fastball",21.5,-16.7,-4.7,"-28",9.1,14.9,-10.2,4.7,"46",0.029925187032418952,0.9526184538653366
"2025","Holmes, Grant","656550","Braves","ATL","R","94.5","620","1883",18.46078431372549,0.3292618162506638,"FF","4-Seam Fastball",15.4,-15,-0.4,"-3",15.2,5.2,-7.8,-2.6,"-33",0.4314214463840399,0.20199501246882792
"2025","Lord, Brad","695418","Nationals","WSH","R","95","620","1111",10.78640776699029,0.558055805580558,"FF","4-Seam Fastball",19.9,-16.4,-3.6,"-22",10.4,15.4,-10.2,5.1,"50",0.07231920199501247,0.9675810473815462
"2025","Williams, Trevor","592866","Nationals","WSH","R","87.7","617","1448",14.058252427184467,0.4261049723756906,"FF","4-Seam Fastball",25.2,-22.7,-2.6,"-11",10.1,2.2,-7,-4.8,"-68",0.12967581047381546,0.059850374064837904
"2025","Mahle, Tyler","641816","Rangers","TEX","R","92","609","1235",11.875,0.4931174089068826,"FF","4-Seam Fastball",14.1,-16.1,2,"13",18.5,10.8,-7.5,3.3,"43",0.8952618453865336,0.8628428927680798
"2025","Imanaga, Shota","684007","Cubs","CHC","L","90.8","600","1205",11.699029126213592,0.4979253112033195,"FF","4-Seam Fastball",15.2,-17.6,2.5,"14",18.4,11.8,-8.4,3.5,"41",0.9451371571072319,0.8902743142144638
"2025","Dollander, Chase","801403","Rockies","COL","R","97.7","596","1236",12,0.48220064724919093,"FF","4-Seam Fastball",16,-14.5,-1.6,"-11",12.6,11.2,-9.2,1.9,"21",0.23690773067331672,0.7231920199501247
"2025","Woods Richardson, Simeon","680573","Twins","MIN","R","93.3","590","1283",12.45631067961165,0.4598597038191738,"FF","4-Seam Fastball",13.1,-14.1,0.9,"7",18.5,5.3,-6.2,-0.8,"-13",0.7032418952618454,0.38154613466334164
"2025","Soroka, Michael","647336","Nationals","WSH","R","93.7","590","1317",12.78640776699029,0.44798785117691725,"FF","4-Seam Fastball",16,-15.6,-0.4,"-2",15.2,9.4,-8,1.4,"17",0.4314214463840399,0.655860349127182
"2025","Allen, Logan","671106","Guardians","CLE","L","90.9","577","1744",17.098039215686274,0.330848623853211,"FF","4-Seam Fastball",17,-18.1,1.1,"6",16.1,6.1,-9,-2.9,"-33",0.7531172069825436,0.16708229426433915
"2025","Taillon, Jameson","592791","Cubs","CHC","R","92.3","576","1493",14.495145631067961,0.38580040187541864,"FF","4-Seam Fastball",13.9,-15,1.1,"7",18.4,7.7,-6.7,1,"15",0.7531172069825436,0.6084788029925187
"2025","Ober, Bailey","641927","Twins","MIN","R","90.5","565","1486",14.427184466019417,0.38021534320323014,"FF","4-Seam Fastball",16.4,-16.2,-0.3,"-2",17.1,8,-6.2,1.8,"29",0.4488778054862843,0.713216957605985
"2025","Severino, Luis","622663","Athletics","ATH","R","96","564","2125",20.047169811320753,0.26541176470588235,"FF","4-Seam Fastball",13.5,-13.8,0.3,"2",16.3,7.1,-7.3,-0.2,"-3",0.5810473815461347,0.4339152119700748
"2025","Greene, Hunter","668881","Reds","CIN","R","99.3","561","978",9.403846153846153,0.5736196319018405,"FF","4-Seam Fastball",11.5,-12.1,0.6,"5",16.4,9.3,-7.8,1.5,"19",0.6433915211970075,0.6708229426433915
"2025","Schwellenbach, Spencer","680885","Braves","ATL","R","97.1","556","1573",15.42156862745098,0.35346471710108074,"FF","4-Seam Fastball",14.2,-13.7,-0.5,"-4",14.8,5.5,-8.3,-2.8,"-34",0.40648379052369077,0.18453865336658354
"2025","Lodolo, Nick","666157","Reds","CIN","L","93.7","543","1914",18.403846153846153,0.2836990595611285,"FF","4-Seam Fastball",22.2,-16.1,-6.1,"-38",9.3,17.3,-8.6,8.7,"102",0.00997506234413965,1
"2025","Pfaadt, Brandon","694297","D-backs","AZ","R","93.6","537","1848",17.76923076923077,0.2905844155844156,"FF","4-Seam Fastball",15.5,-15.1,-0.4,"-2",15.7,5.9,-7.4,-1.5,"-20",0.4314214463840399,0.29925187032418954
"2025","Birdsong, Hayden","806185","Giants","SF","R","95.5","527","1194",11.48076923076923,0.44137353433835846,"FF","4-Seam Fastball",12,-13.1,1.1,"8",18.1,6,-6.2,-0.2,"-4",0.7531172069825436,0.4339152119700748
"2025","Smith, Cade","671922","Guardians","CLE","R","96.4","524","748",7.333333333333333,0.7005347593582888,"FF","4-Seam Fastball",13,-13.1,0.1,"1",16.6,8.8,-7,1.8,"26",0.5311720698254364,0.713216957605985
"2025","Megill, Tylor","656731","Mets","NYM","R","95.4","518","1234",11.865384615384615,0.419773095623987,"FF","4-Seam Fastball",13.3,-13.6,0.2,"2",17,6.6,-7.1,-0.5,"-7",0.5511221945137157,0.40648379052369077
"2025","Wacha, Michael","608379","Royals","KC","R","93.2","516","1759",17.07766990291262,0.29334849346219444,"FF","4-Seam Fastball",13.4,-13.9,0.5,"4",18.1,6.5,-6,0.5,"8",0.6184538653366584,0.5261845386533666
"2025","Bibee, Tanner","676440","Guardians","CLE","R","94.5","509","1903",18.65686274509804,0.2674724119810825,"FF","4-Seam Fastball",15.9,-13.7,-2.1,"-16",14.8,5.4,-6.5,-1.1,"-17",0.17955112219451372,0.36159600997506236
"2025","Santillan, Tony","663574","Reds","CIN","R","96.3","506","790",7.596153846153846,0.640506329113924,"FF","4-Seam Fastball",16.3,-15.3,-0.9,"-6",13.3,11.5,-9.4,2.2,"23",0.34663341645885287,0.7630922693266833
"2025","Márquez, Germán","608566","Rockies","COL","R","95.1","504","1597",15.504854368932039,0.31559173450219163,"FF","4-Seam Fastball",16.1,-14.7,-1.4,"-10",14.1,9.6,-7.9,1.7,"21",0.26184538653366585,0.7007481296758105
"2025","Morton, Charlie","450203","Orioles","BAL","R","94.2","502","1694",16.446601941747574,0.29634002361275086,"FF","4-Seam Fastball",18.4,-15.8,-2.6,"-16",12.6,11.8,-8.6,3.2,"37",0.12967581047381546,0.85785536159601
"2025","Horton, Cade","690990","Cubs","CHC","R","95.7","502","1009",9.79611650485437,0.4975222993062438,"FF","4-Seam Fastball",15.6,-14,-1.6,"-11",14.3,0.4,-7.4,-7.7,"-105",0.23690773067331672,0.007481296758104738
"2025","Skubal, Tarik","669373","Tigers","DET","L","97.5","500","1845",17.571428571428573,0.27100271002710025,"FF","4-Seam Fastball",11.7,-12.6,1,"8",17.2,3.8,-7.1,-3.3,"-47",0.7331670822942643,0.12718204488778054
"2025","Leiter, Jack","683004","Rangers","TEX","R","97.3","496","1477",14.201923076923077,0.3358158429248477,"FF","4-Seam Fastball",11.8,-13.3,1.5,"12",17.4,8.7,-8,0.7,"9",0.8329177057356608,0.5610972568578554
"2025","Rasmussen, Drew","656876","Rays","TB","R","95.8","486","1464",14.076923076923077,0.3319672131147541,"FF","4-Seam Fastball",12.3,-13.6,1.3,"10",17.5,4.1,-7.1,-3,"-42",0.7955112219451371,0.14713216957605985
"2025","Kelly, Merrill","518876","D-backs","AZ","R","92","484","1910",18.365384615384617,0.2534031413612565,"FF","4-Seam Fastball",17.6,-17,-0.6,"-4",14.8,9.3,-8.7,0.6,"7",0.38902743142144636,0.5486284289276808
"2025","Kremer, Dean","665152","Orioles","BAL","R","93.3","484","1927",18.70873786407767,0.2511676180591593,"FF","4-Seam Fastball",13.6,-15,1.5,"10",18,7.6,-7.1,0.5,"7",0.8329177057356608,0.5261845386533666
"2025","Lauer, Eric","641778","Blue Jays","TOR","L","91.7","482","1052",10.115384615384615,0.45817490494296575,"FF","4-Seam Fastball",16.6,-15.8,-0.8,"-5",16.1,9,-7,2,"28",0.36159600997506236,0.7331670822942643
"2025","Mize, Casey","663554","Tigers","DET","R","94.6","479","1461",13.914285714285715,0.3278576317590691,"FF","4-Seam Fastball",13.7,-14.2,0.5,"3",17,8,-7.1,0.9,"13",0.6184538653366584,0.5985037406483791
"2025","Canning, Griffin","656288","Mets","NYM","R","94.1","463","1343",12.913461538461538,0.3447505584512286,"FF","4-Seam Fastball",15.4,-15.3,0,"0",15.8,9.5,-7.9,1.6,"20",0.5062344139650873,0.683291770573566
"2025","Mikolas, Miles","571945","Cardinals","STL","R","92.5","456","1610",15.333333333333334,0.28322981366459626,"FF","4-Seam Fastball",17.3,-14.9,-2.4,"-16",14.8,8.1,-6.5,1.6,"25",0.14463840399002495,0.683291770573566
"2025","Estrada, Jeremiah","669093","Padres","SD","R","97.9","455","729",7.009615384615385,0.6241426611796982,"FF","4-Seam Fastball",8.9,-12.6,3.7,"29",19.9,2.4,-7.5,-5.1,"-67",0.9950124688279302,0.04738154613466334
"2025","Freeland, Kyle","607536","Rockies","COL","L","92","451","1590",15.436893203883495,0.28364779874213836,"FF","4-Seam Fastball",17.2,-15.8,-1.4,"-9",15.1,7.8,-7.2,0.6,"9",0.26184538653366585,0.5486284289276808
"2025","Ortiz, Luis L.","682847","Guardians","CLE","R","96.4","444","1501",14.715686274509803,0.29580279813457694,"FF","4-Seam Fastball",17.7,-15.3,-2.3,"-15",11.9,12.5,-9.5,3,"31",0.16458852867830423,0.8453865336658354
"2025","Harris, Hogan","663687","Athletics","ATH","L","93","435","781",7.367924528301887,0.5569782330345711,"FF","4-Seam Fastball",14.6,-14.9,0.3,"2",17.4,8.5,-6.9,1.6,"23",0.5810473815461347,0.683291770573566
"2025","Latz, Jacob","656641","Rangers","TEX","L","94.3","434","874",8.403846153846153,0.4965675057208238,"FF","4-Seam Fastball",12.2,-14.4,2.2,"15",18.8,8.8,-7.1,1.7,"24",0.9152119700748129,0.7007481296758105
"2025","López, Pablo","641154","Twins","MIN","R","94.5","430","1007",9.776699029126213,0.4270109235352532,"FF","4-Seam Fastball",16.5,-14.8,-1.6,"-11",14.2,6.4,-7.9,-1.5,"-19",0.23690773067331672,0.29925187032418954
"2025","Povich, Cade","700249","Orioles","BAL","L","92.3","429","1153",11.194174757281553,0.3720728534258456,"FF","4-Seam Fastball",14.7,-15.6,0.9,"6",17.6,10.1,-7.2,2.9,"41",0.7032418952618454,0.8354114713216958
"2025","Cecconi, Slade","677944","Guardians","CLE","R","94.3","428","1058",10.372549019607844,0.4045368620037807,"FF","4-Seam Fastball",14.9,-14.6,-0.2,"-1",16.1,10.6,-7.3,3.3,"46",0.4763092269326683,0.8628428927680798
"2025","Ragans, Cole","666142","Royals","KC","L","95.3","424","873",8.475728155339805,0.4856815578465063,"FF","4-Seam Fastball",13.4,-14.1,0.7,"5",16.9,13.7,-7.1,6.6,"94",0.6683291770573566,0.9925187032418953
"2025","Littell, Zack","641793","Rays","TB","R","92.1","420","1832",17.615384615384617,0.2292576419213974,"FF","4-Seam Fastball",16.2,-15.5,-0.7,"-5",16.1,7,-7,0.1,"1",0.371571072319202,0.48129675810473815
"2025","Vest, Will","676684","Tigers","DET","R","96.8","419","737",7.019047619047619,0.5685210312075983,"FF","4-Seam Fastball",12.7,-13.9,1.2,"9",16.6,5.8,-8,-2.2,"-27",0.7805486284289277,0.22693266832917705
"2025","Peterson, David","656849","Mets","NYM","L","92.4","415","1779",17.10576923076923,0.23327712197863967,"FF","4-Seam Fastball",18.4,-14.7,-3.7,"-25",13.6,4.9,-6.4,-1.5,"-24",0.06733167082294264,0.29925187032418954
"2025","Liberatore, Matthew","669461","Cardinals","STL","L","94.3","415","1530",14.571428571428571,0.27124183006535946,"FF","4-Seam Fastball",14.6,-13.8,-0.9,"-6",16.2,7.3,-6.3,1,"16",0.34663341645885287,0.6084788029925187
